PassengerId,Survived,Pclass,Alone,AgeGroup,Sex_Coded,Embarked_Coded
1,0,3,0,2,0,3
2,1,1,0,3,1,1
3,1,3,1,2,1,3
4,1,1,0,3,1,3
5,0,3,1,3,0,3
7,0,1,1,4,0,3
8,0,3,0,1,0,3
9,1,3,0,2,1,3
10,1,2,0,1,1,1
11,1,3,0,1,1,3
12,1,1,1,4,1,3
13,0,3,1,1,0,3
14,0,3,0,4,0,3
15,0,3,1,1,1,3
16,1,2,1,4,1,3
17,0,3,0,1,0,2
19,0,3,0,3,1,3
21,0,2,1,3,0,3
22,1,2,1,3,0,3
23,1,3,1,1,1,2
24,1,1,1,2,0,3
25,0,3,0,1,1,3
26,1,3,0,3,1,3
28,0,1,0,1,0,3
31,0,1,1,4,0,1
34,0,2,1,4,0,3
35,0,1,0,2,0,1
36,0,1,0,4,0,3
38,0,3,1,2,0,3
39,0,3,0,1,1,3
40,1,3,0,1,1,1
41,0,3,0,4,1,3
42,0,2,0,2,1,3
44,1,2,0,1,1,1
45,1,3,1,1,1,2
50,0,3,0,1,1,3
51,0,3,0,1,0,3
52,0,3,1,2,0,3
53,1,1,0,4,1,1
54,1,2,0,3,1,3
55,0,1,0,4,0,1
57,1,2,1,2,1,3
58,0,3,1,3,0,1
59,1,2,0,1,1,3
60,0,3,0,1,0,3
61,0,3,1,2,0,1
62,1,1,1,3,1,3
63,0,1,0,4,0,3
64,0,3,0,1,0,3
67,1,2,1,3,1,3
68,0,3,1,1,0,3
69,1,3,0,1,1,3
70,0,3,0,2,0,3
71,0,2,1,3,0,3
72,0,3,0,1,1,3
73,0,2,1,2,0,3
74,0,3,0,2,0,1
75,1,3,1,3,0,3
76,0,3,1,2,0,3
79,1,2,0,1,0,3
80,1,3,1,3,1,3
81,0,3,1,2,0,3
82,1,3,1,3,0,3
84,0,1,1,2,0,3
85,1,2,1,1,1,3
86,1,3,0,3,1,3
87,0,3,0,1,0,3
89,1,1,0,2,1,3
90,0,3,1,2,0,3
91,0,3,1,3,0,3
92,0,3,1,1,0,3
93,0,1,0,4,0,3
94,0,3,0,2,0,3
95,0,3,1,4,0,3
97,0,1,1,4,0,1
98,1,1,0,2,0,1
99,1,2,0,3,1,3
100,0,2,0,3,0,3
101,0,3,1,2,1,3
103,0,1,0,2,0,3
104,0,3,1,3,0,3
105,0,3,0,3,0,3
106,0,3,1,2,0,3
107,1,3,1,2,1,3
109,0,3,1,3,0,3
111,0,1,1,4,0,3
112,0,3,0,1,1,1
113,0,3,1,2,0,3
114,0,3,0,1,1,3
115,0,3,1,1,1,1
116,0,3,1,2,0,3
117,0,3,1,4,0,2
118,0,2,0,3,0,3
119,0,1,0,2,0,1
120,0,3,0,1,1,3
121,0,2,0,2,0,3
123,0,2,0,3,0,1
124,1,2,1,3,1,3
125,0,1,0,4,0,3
126,1,3,0,1,0,1
128,1,3,1,2,0,3
130,0,3,1,4,0,3
131,0,3,1,3,0,1
132,0,3,1,1,0,3
133,0,3,0,4,1,3
134,1,2,0,3,1,3
135,0,2,1,2,0,3
136,0,2,1,2,0,1
137,1,1,0,1,1,3
138,0,1,0,3,0,3
139,0,3,1,1,0,3
140,0,1,1,2,0,1
142,1,3,1,2,1,3
143,1,3,0,2,1,3
144,0,3,1,1,0,2
145,0,2,1,1,0,3
146,0,2,0,1,0,3
147,1,3,1,2,0,3
148,0,3,0,1,1,3
149,0,2,0,3,0,3
150,0,2,1,4,0,3
151,0,2,1,4,0,3
152,1,1,0,2,1,3
153,0,3,1,4,0,3
154,0,3,0,4,0,3
156,0,1,0,4,0,1
157,1,3,1,1,1,2
158,0,3,1,3,0,3
161,0,3,0,4,0,3
162,1,2,1,4,1,3
163,0,3,1,2,0,3
164,0,3,1,1,0,3
165,0,3,0,1,0,3
166,1,3,0,1,0,3
168,0,3,0,4,1,3
170,0,3,1,2,0,3
171,0,1,1,4,0,3
172,0,3,0,1,0,2
173,1,3,0,1,1,3
174,0,3,1,2,0,3
175,0,1,1,4,0,1
176,0,3,0,1,0,3
178,0,1,1,4,1,1
179,0,2,1,3,0,3
180,0,3,1,3,0,3
183,0,3,0,1,0,3
184,1,2,0,1,0,3
185,1,3,0,1,1,3
188,1,1,1,4,0,3
189,0,3,0,4,0,2
190,0,3,1,3,0,3
191,1,2,1,3,1,3
192,0,2,1,1,0,3
193,1,3,0,1,1,3
194,1,2,0,1,0,3
195,1,1,1,4,1,1
196,1,1,1,4,1,1
198,0,3,0,4,0,3
200,0,2,1,2,1,3
201,0,3,1,2,0,3
203,0,3,1,3,0,3
204,0,3,1,4,0,1
205,1,3,1,1,0,3
206,0,3,0,1,1,3
207,0,3,0,3,0,3
208,1,3,1,2,0,1
209,1,3,1,1,1,2
210,1,1,1,4,0,1
211,0,3,1,2,0,3
212,1,2,1,3,1,3
213,0,3,1,2,0,3
214,0,2,1,3,0,3
216,1,1,0,3,1,1
217,1,3,1,2,1,3
218,0,2,0,4,0,3
219,1,1,1,3,1,1
220,0,2,1,3,0,3
221,1,3,1,1,0,3
222,0,2,1,2,0,3
223,0,3,1,4,0,3
225,1,1,0,3,0,3
226,0,3,1,2,0,3
227,1,2,1,1,0,3
228,0,3,1,2,0,3
229,0,2,1,1,0,3
231,1,1,0,3,1,3
232,0,3,1,3,0,3
233,0,2,1,4,0,3
234,1,3,0,1,1,3
235,0,2,1,2,0,3
237,0,2,0,4,0,3
238,1,2,0,1,1,3
239,0,2,1,1,0,3
240,0,2,1,3,0,3
243,0,2,1,3,0,3
244,0,3,1,2,0,3
245,0,3,1,3,0,1
246,0,1,0,4,0,2
247,0,3,1,2,1,3
248,1,2,0,2,1,3
249,1,1,0,3,0,3
250,0,2,0,4,0,3
252,0,3,0,3,1,3
253,0,1,1,4,0,3
254,0,3,0,3,0,3
255,0,3,0,4,1,3
256,1,3,0,3,1,1
258,1,1,1,3,1,3
259,1,1,1,3,1,1
260,1,2,0,4,1,3
262,1,3,0,1,0,3
263,0,1,0,4,0,3
264,0,1,1,4,0,3
266,0,2,1,3,0,3
267,0,3,0,1,0,3
268,1,3,0,2,0,3
269,1,1,0,4,1,3
270,1,1,1,3,1,3
272,1,3,1,2,0,3
273,1,2,0,4,1,3
274,0,1,0,3,0,1
276,1,1,0,4,1,3
277,0,3,1,4,1,3
279,0,3,0,1,0,2
280,1,3,0,3,1,3
281,0,3,1,4,0,2
282,0,3,1,2,0,3
283,0,3,1,1,0,3
284,1,3,1,1,0,3
286,0,3,1,3,0,1
287,1,3,1,3,0,3
288,0,3,1,2,0,3
289,1,2,1,4,0,3
290,1,3,1,2,1,2
291,1,1,1,2,1,3
292,1,1,0,1,1,1
293,0,2,1,3,0,1
294,0,3,1,2,1,3
295,0,3,1,2,0,3
297,0,3,1,2,0,1
298,0,1,0,1,1,3
300,1,1,0,4,1,1
303,0,3,1,1,0,3
306,1,1,0,1,0,3
308,1,1,0,1,1,1
309,0,2,0,3,0,1
310,1,1,1,3,1,1
311,1,1,1,2,1,1
312,1,1,0,1,1,1
313,0,2,0,2,1,3
314,0,3,1,2,0,3
315,0,2,0,4,0,3
316,1,3,1,2,1,3
317,1,2,0,2,1,3
318,0,2,1,4,0,3
319,1,1,0,3,1,3
320,1,1,0,4,1,1
321,0,3,1,2,0,3
322,0,3,1,2,0,3
323,1,2,1,3,1,2
324,1,2,0,2,1,3
326,1,1,1,3,1,1
327,0,3,1,4,0,3
328,1,2,1,3,1,3
329,1,3,0,3,1,3
330,1,1,0,1,1,1
332,0,1,1,4,0,3
333,0,1,0,3,0,3
334,0,3,0,1,0,3
337,0,1,0,3,0,3
338,1,1,1,4,1,1
339,1,3,1,4,0,3
340,0,1,1,4,0,3
341,1,2,0,1,0,3
342,1,1,0,2,1,3
343,0,2,1,2,0,3
344,0,2,1,2,0,3
345,0,2,1,3,0,3
346,1,2,1,2,1,3
347,1,2,1,4,1,3
349,1,3,0,1,0,3
350,0,3,1,4,0,3
351,0,3,1,2,0,3
353,0,3,0,1,0,1
354,0,3,0,2,0,3
356,0,3,1,2,0,3
357,1,1,0,2,1,3
358,0,2,1,3,1,3
361,0,3,0,4,0,3
362,0,2,0,3,0,1
363,0,3,0,4,1,1
364,0,3,1,3,0,3
366,0,3,1,3,0,3
367,1,1,0,4,1,1
370,1,1,1,2,1,1
371,1,1,0,2,0,1
372,0,3,0,1,0,3
373,0,3,1,1,0,3
374,0,1,1,2,0,1
375,0,3,0,1,1,3
377,1,3,1,2,1,3
378,0,1,0,2,0,1
379,0,3,1,1,0,1
380,0,3,1,1,0,3
381,1,1,1,4,1,1
382,1,3,0,1,1,1
383,0,3,1,3,0,3
384,1,1,0,3,1,3
386,0,2,1,1,0,3
387,0,3,0,1,0,3
388,1,2,1,3,1,3
390,1,2,1,1,1,1
391,1,1,0,3,0,3
392,1,3,1,2,0,3
393,0,3,0,2,0,3
394,1,1,0,2,1,1
395,1,3,0,2,1,3
396,0,3,1,2,0,3
397,0,3,1,3,1,3
398,0,2,1,4,0,3
399,0,2,1,2,0,3
400,1,2,1,2,1,3
401,1,3,1,4,0,3
402,0,3,1,2,0,3
403,0,3,0,2,1,3
404,0,3,0,2,0,3
405,0,3,1,1,1,3
406,0,2,0,3,0,3
407,0,3,1,4,0,3
408,1,2,0,1,0,3
409,0,3,1,2,0,3
413,1,1,0,3,1,2
415,1,3,1,4,0,3
417,1,2,0,3,1,3
418,1,2,0,1,1,3
419,0,2,1,3,0,3
420,0,3,0,1,1,3
422,0,3,1,2,0,2
423,0,3,1,3,0,3
424,0,3,0,2,1,3
425,0,3,0,1,0,3
427,1,2,0,2,1,3
428,1,2,1,1,1,3
430,1,3,1,3,0,3
431,1,1,1,2,0,3
433,1,2,0,4,1,3
434,0,3,1,1,0,3
435,0,1,0,4,0,3
436,1,1,0,1,1,3
437,0,3,0,2,1,3
438,1,2,0,2,1,3
439,0,1,0,4,0,3
440,0,2,1,3,0,3
441,1,2,0,4,1,3
442,0,3,1,1,0,3
443,0,3,0,2,0,3
444,1,2,1,2,1,3
446,1,1,0,1,0,3
447,1,2,0,1,1,3
448,1,1,1,3,0,3
449,1,3,0,1,1,1
450,1,1,1,4,0,3
451,0,2,0,3,0,3
453,0,1,1,3,0,1
454,1,1,0,4,0,1
456,1,3,1,3,0,1
457,0,1,1,4,0,3
459,1,2,1,4,1,3
461,1,1,1,4,0,3
462,0,3,1,3,0,3
463,0,1,1,4,0,3
464,0,2,1,4,0,3
466,0,3,1,3,0,3
468,0,1,1,4,0,3
470,1,3,0,1,1,1
472,0,3,1,3,0,3
473,1,2,0,3,1,3
474,1,2,1,2,1,1
475,0,3,1,2,1,3
477,0,2,0,3,0,3
478,0,3,0,3,0,3
479,0,3,1,2,0,3
480,1,3,0,1,1,3
481,0,3,0,1,0,3
483,0,3,1,4,0,3
484,1,3,1,4,1,3
485,1,1,0,2,0,1
487,1,1,0,3,1,3
488,0,1,1,4,0,1
489,0,3,1,3,0,3
490,1,3,0,1,0,3
492,0,3,1,2,0,3
493,0,1,1,4,0,3
494,0,1,1,4,0,1
495,0,3,1,2,0,3
497,1,1,0,4,1,1
499,0,1,0,2,1,3
500,0,3,1,2,0,3
501,0,3,1,1,0,3
502,0,3,1,2,1,2
504,0,3,1,3,1,3
505,1,1,1,1,1,3
506,0,1,0,1,0,1
507,1,2,0,3,1,3
509,0,3,1,2,0,3
510,1,3,1,2,0,3
511,1,3,1,3,0,2
513,1,1,1,3,0,3
514,1,1,0,4,1,1
515,0,3,1,2,0,3
516,0,1,1,4,0,3
517,1,2,1,3,1,3
519,1,2,0,3,1,3
520,0,3,1,3,0,3
521,1,1,1,3,1,3
522,0,3,1,2,0,3
524,1,1,0,4,1,1
526,0,3,1,4,0,2
527,1,2,1,4,1,3
529,0,3,1,4,0,3
530,0,2,0,2,0,3
531,1,2,0,1,1,3
533,0,3,0,1,0,1
535,0,3,1,3,1,3
536,1,2,0,1,1,3
537,0,1,1,4,0,3
538,1,1,1,3,1,1
540,1,1,0,2,1,1
541,1,1,0,3,1,3
542,0,3,0,1,1,3
543,0,3,0,1,1,3
544,1,2,0,3,0,3
545,0,1,0,4,0,1
546,0,1,1,4,0,3
547,1,2,0,1,1,3
549,0,3,0,3,0,3
550,1,2,0,1,0,3
551,1,1,0,1,0,1
552,0,2,1,2,0,3
554,1,3,1,2,0,1
555,1,3,1,2,1,3
556,0,1,1,4,0,3
557,1,1,0,4,1,1
559,1,1,0,4,1,3
560,1,3,0,3,1,3
562,0,3,1,4,0,3
563,0,2,1,2,0,3
566,0,3,0,2,0,3
567,0,3,1,1,0,3
568,0,3,0,3,1,3
570,1,3,1,3,0,3
571,1,2,1,4,0,3
572,1,1,0,4,1,3
573,1,1,1,3,0,3
575,0,3,1,1,0,3
576,0,3,1,1,0,3
577,1,2,1,3,1,3
578,1,1,0,4,1,3
580,1,3,1,3,0,3
581,1,2,0,2,1,3
582,1,1,0,4,1,1
583,0,2,1,4,0,3
584,0,1,1,3,0,1
586,1,1,0,1,1,3
587,0,2,1,4,0,3
588,1,1,0,4,0,1
589,0,3,1,2,0,3
591,0,3,1,3,0,3
592,1,1,0,4,1,1
593,0,3,1,4,0,3
595,0,2,0,3,0,3
596,0,3,0,3,0,3
598,0,3,1,4,0,3
600,1,1,0,4,0,1
601,1,2,0,2,1,3
604,0,3,1,4,0,3
605,1,1,1,3,0,1
606,0,3,0,3,0,3
607,0,3,1,3,0,3
608,1,1,1,2,0,3
609,1,2,0,2,1,1
610,1,1,1,4,1,3
611,0,3,0,4,1,3
615,0,3,1,3,0,3
616,1,2,0,2,1,3
617,0,3,0,3,0,3
618,0,3,0,2,1,3
619,1,2,0,1,1,3
620,0,2,1,2,0,3
621,0,3,0,2,0,1
622,1,1,0,4,0,3
623,1,3,0,1,0,1
624,0,3,1,2,0,3
625,0,3,1,2,0,3
626,0,1,1,4,0,3
627,0,2,1,4,0,2
628,1,1,1,2,1,3
629,0,3,1,2,0,3
631,1,1,1,4,0,3
632,0,3,1,4,0,3
633,1,1,1,3,0,1
635,0,3,0,1,1,3
636,1,2,1,2,1,3
637,0,3,1,3,0,3
638,0,2,0,3,0,3
639,0,3,0,4,1,3
641,0,3,1,1,0,3
642,1,1,1,2,1,1
643,0,3,0,1,1,3
645,1,3,0,1,1,1
646,1,1,0,4,0,1
647,0,3,1,1,0,3
648,1,1,1,4,0,1
650,1,3,1,2,1,3
652,1,2,0,1,1,3
653,0,3,1,2,0,3
655,0,3,1,1,1,2
656,0,2,0,2,0,3
658,0,3,0,3,1,2
659,0,2,1,2,0,3
660,0,1,0,4,0,1
661,1,1,0,4,0,3
662,0,3,1,4,0,1
663,0,1,1,4,0,3
664,0,3,1,3,0,3
665,1,3,0,1,0,3
666,0,2,0,3,0,3
667,0,2,1,2,0,3
669,0,3,1,4,0,3
671,1,2,0,4,1,3
672,0,1,0,3,0,3
673,0,2,1,4,0,3
674,1,2,1,3,0,3
676,0,3,1,1,0,3
677,0,3,1,2,0,3
678,1,3,1,1,1,3
679,0,3,0,4,1,3
680,1,1,0,3,0,1
682,1,1,1,2,0,1
683,0,3,1,1,0,3
684,0,3,0,1,0,3
685,0,2,0,4,0,3
686,0,2,0,2,0,1
687,0,3,0,1,0,3
688,0,3,1,1,0,3
689,0,3,1,1,0,3
690,1,1,0,1,1,3
691,1,1,0,3,0,3
692,1,3,0,1,1,1
694,0,3,1,2,0,1
695,0,1,1,4,0,3
696,0,2,1,4,0,3
697,0,3,1,4,0,3
699,0,1,0,4,0,1
700,0,3,1,4,0,3
701,1,1,0,1,1,1
702,1,1,1,3,0,3
703,0,3,0,1,1,1
704,0,3,1,2,0,2
705,0,3,0,2,0,3
706,0,2,1,4,0,3
707,1,2,1,4,1,3
708,1,1,1,4,0,3
709,1,1,1,2,1,3
711,1,1,1,2,1,1
713,1,1,0,4,0,3
714,0,3,1,3,0,3
715,0,2,1,4,0,3
716,0,3,1,1,0,3
717,1,1,1,3,1,1
718,1,2,1,2,1,3
720,0,3,1,3,0,3
721,1,2,0,1,1,3
722,0,3,0,1,0,3
723,0,2,1,3,0,3
724,0,2,1,4,0,3
725,1,1,0,2,0,3
726,0,3,1,1,0,3
727,1,2,0,3,1,3
729,0,2,0,2,0,3
730,0,3,0,2,1,3
731,1,1,1,3,1,3
732,0,3,1,1,0,1
734,0,2,1,2,0,3
735,0,2,1,2,0,3
736,0,3,1,3,0,3
737,0,3,0,4,1,3
738,1,1,1,3,0,1
742,0,1,0,3,0,3
743,1,1,0,2,1,1
744,0,3,0,2,0,3
745,1,3,1,3,0,3
746,0,1,0,4,0,3
747,0,3,0,1,0,3
748,1,2,1,3,1,3
749,0,1,0,1,0,3
750,0,3,1,3,0,2
751,1,2,0,1,1,3
752,1,3,0,1,0,3
753,0,3,1,3,0,3
754,0,3,1,2,0,3
755,1,2,0,4,1,3
756,1,2,0,1,0,3
757,0,3,1,2,0,3
758,0,2,1,1,0,3
759,0,3,1,3,0,3
760,1,1,1,3,1,3
762,0,3,1,4,0,3
763,1,3,1,1,0,1
764,1,1,0,3,1,3
765,0,3,1,1,0,3
766,1,1,0,4,1,3
768,0,3,1,3,1,2
770,0,3,1,3,0,3
771,0,3,1,2,0,3
772,0,3,1,4,0,3
773,0,2,1,4,1,3
775,1,2,0,4,1,3
776,0,3,1,1,0,3
778,1,3,1,1,1,3
780,1,1,0,4,1,3
781,1,3,1,1,1,1
782,1,1,0,1,1,3
783,0,1,1,3,0,3
785,0,3,1,2,0,3
786,0,3,1,2,0,3
787,1,3,1,1,1,3
788,0,3,0,1,0,2
789,1,3,0,1,0,3
790,0,1,1,4,0,1
792,0,2,1,1,0,3
795,0,3,1,2,0,3
796,0,2,1,4,0,3
797,1,1,1,4,1,3
798,1,3,1,3,1,3
799,0,3,1,3,0,1
800,0,3,0,3,1,3
801,0,2,1,3,0,3
802,1,2,0,3,1,3
803,1,1,0,1,0,3
804,1,3,0,1,0,1
805,1,3,1,2,0,3
806,0,3,1,3,0,3
807,0,1,1,4,0,3
808,0,3,1,1,1,3
809,0,2,1,4,0,3
810,1,1,0,3,1,3
811,0,3,1,2,0,3
812,0,3,1,4,0,3
813,0,2,1,3,0,3
814,0,3,0,1,1,3
815,0,3,1,3,0,3
817,0,3,1,2,1,3
818,0,2,0,3,0,1
819,0,3,1,4,0,3
820,0,3,0,1,0,3
821,1,1,0,4,1,3
822,1,3,1,2,0,3
823,0,1,1,3,0,3
824,1,3,0,2,1,3
825,0,3,0,1,0,3
828,1,2,0,1,0,1
830,1,1,1,4,1,3
831,1,3,0,1,1,1
832,1,2,0,1,0,3
834,0,3,1,2,0,3
835,0,3,1,1,0,3
836,1,1,0,4,1,1
837,0,3,1,2,0,3
839,1,3,1,3,0,3
841,0,3,1,1,0,3
842,0,2,1,1,0,3
843,1,1,1,3,1,1
844,0,3,1,3,0,1
845,0,3,1,1,0,3
846,0,3,1,4,0,3
848,0,3,1,3,0,1
849,0,2,0,2,0,3
851,0,3,0,1,0,3
852,0,3,1,4,0,3
853,0,3,0,1,1,1
854,1,1,0,1,1,3
855,0,2,0,4,1,3
856,1,3,0,1,1,3
857,1,1,0,4,1,3
858,1,1,1,4,0,3
859,1,3,0,2,1,1
861,0,3,0,4,0,3
862,0,2,0,2,0,3
863,1,1,1,4,1,3
865,0,2,1,2,0,3
866,1,2,1,4,1,3
867,1,2,0,2,1,1
868,0,1,1,3,0,3
870,1,3,0,1,0,3
871,0,3,1,2,0,3
872,1,1,0,4,1,3
873,0,1,1,3,0,3
874,0,3,1,4,0,3
875,1,2,0,2,1,1
876,1,3,1,1,1,1
877,0,3,1,1,0,3
878,0,3,1,1,0,3
880,1,1,0,4,1,1
881,1,2,0,2,1,3
882,0,3,1,3,0,3
883,0,3,1,2,1,3
884,0,2,1,2,0,3
885,0,3,1,2,0,3
886,0,3,0,4,1,2
887,0,2,1,2,0,3
888,1,1,1,1,1,3
890,1,1,1,2,0,1
891,0,3,1,3,0,2
